time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch
1717274430.376836,222.000,270.000,60.000,222.000,270.000,61.000,220.000,270.000,61.000, 0.094, 0.170, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-11.792, 0.000,-69.530, 0.000,334.777,242.674,119.736,56.782,505.483,-2.143, 2.255, 0.090,-2.938,-1.065,-3.566
1717274430.483092,222.000,270.000,61.000,220.000,270.000,61.000,220.000,270.000,60.000, 0.170, 0.106,-2.000, 0.000,-2.000, 0.000,-11.792, 0.000, 0.000, 0.000,111.051, 0.000,334.702,242.680,119.673,56.845,504.884,-2.148, 2.259, 0.093,-2.920,-1.402,-3.406
1717274430.571797,220.000,270.000,61.000,220.000,270.000,60.000,220.000,270.000,62.000, 0.106, 0.089, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,334.785,242.663,119.710,56.799,505.540,-2.142, 2.253, 0.085,-2.922,-0.843,-3.513
1717274430.6597052,220.000,270.000,60.000,220.000,270.000,62.000,222.000,270.000,60.000, 0.089, 0.088, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,22.755, 0.000,258.888, 0.000,334.726,242.496,119.675,56.745,505.415,-2.144, 2.256, 0.061,-2.905,-0.351,-2.764
1717274430.749899,220.000,270.000,62.000,222.000,270.000,60.000,220.000,270.000,61.000, 0.088, 0.090, 2.000, 0.000, 2.000, 0.000,22.755, 0.000,-22.243, 0.000,-500.441, 0.000,334.681,242.866,119.694,56.823,506.288,-2.138, 2.249, 0.097,-2.941,-0.934,-4.047
1717274430.8497732,222.000,270.000,60.000,220.000,270.000,61.000,222.000,270.000,60.000, 0.090, 0.100,-2.000, 0.000,-2.000, 0.000,-22.243, 0.000,19.974, 0.000,421.622, 0.000,334.855,242.773,119.819,56.770,505.732,-2.142, 2.255, 0.092,-2.964,-1.091,-3.637
1717274430.94258,220.000,270.000,61.000,222.000,270.000,60.000,222.000,270.000,60.000, 0.100, 0.093, 2.000, 0.000, 2.000, 0.000,19.974, 0.000, 0.000, 0.000,-215.272, 0.000,334.716,242.516,119.668,56.769,504.928,-2.146, 2.257, 0.074,-2.914,-0.774,-3.042
1717274431.0397718,222.000,270.000,60.000,222.000,270.000,60.000,220.000,272.000,61.000, 0.093, 0.097, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-20.545,20.545,-211.058,211.058,334.749,242.602,119.666,56.802,505.654,-2.143, 2.253, 0.068,-2.894,-0.436,-3.051
1717274431.114295,222.000,270.000,60.000,220.000,272.000,61.000,220.000,270.000,62.000, 0.097, 0.074,-2.000, 2.000,-2.000, 2.000,-20.545,20.545, 0.000,-26.872,276.045,-637.088,334.731,242.728,119.738,56.767,505.718,-2.141, 2.253, 0.095,-2.957,-1.084,-3.806
1717274431.224895,220.000,272.000,61.000,220.000,270.000,62.000,222.000,270.000,60.000, 0.074, 0.111, 0.000,-2.000, 0.000,-2.000, 0.000,-26.872,18.095, 0.000,163.717,243.123,334.630,242.849,119.700,56.788,506.442,-2.139, 2.251, 0.089,-2.949,-0.785,-3.788
1717274431.320417,220.000,270.000,62.000,222.000,270.000,60.000,222.000,270.000,60.000, 0.111, 0.095, 2.000, 0.000, 2.000, 0.000,18.095, 0.000, 0.000, 0.000,-189.638, 0.000,334.685,242.735,119.712,56.774,505.750,-2.141, 2.253, 0.089,-2.950,-0.913,-3.650
1717274431.423618,222.000,270.000,60.000,222.000,270.000,60.000,220.000,268.000,62.000, 0.095, 0.103, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-19.361,-19.361,-187.415,-187.415,334.678,242.478,119.636,56.777,504.786,-2.147, 2.258, 0.078,-2.903,-0.944,-3.059
1717274431.5060139,222.000,270.000,60.000,220.000,268.000,62.000,220.000,270.000,60.000, 0.103, 0.083,-2.000,-2.000,-2.000,-2.000,-19.361,-19.361, 0.000,24.211,234.372,527.465,334.786,242.759,119.759,56.784,505.808,-2.141, 2.253, 0.093,-2.951,-1.028,-3.758
1717274431.605013,220.000,268.000,62.000,220.000,270.000,60.000,220.000,270.000,62.000, 0.083, 0.099, 0.000, 2.000, 0.000, 2.000, 0.000,24.211, 0.000, 0.000, 0.000,-244.818,334.743,242.718,119.709,56.835,505.054,-2.146, 2.258, 0.090,-2.931,-1.216,-3.389
1717274431.6971872,220.000,270.000,60.000,220.000,270.000,62.000,220.000,270.000,60.000, 0.099, 0.092, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,334.674,242.422,119.623,56.767,504.601,-2.148, 2.259, 0.063,-2.895,-0.584,-2.618
1717274431.7972999,220.000,270.000,62.000,220.000,270.000,60.000,220.000,270.000,62.000, 0.092, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,334.717,242.806,119.702,56.772,507.338,-2.136, 2.247, 0.074,-2.912,-0.199,-3.594
1717274431.8952131,220.000,270.000,60.000,220.000,270.000,62.000,220.000,270.000,62.000, 0.100, 0.098, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,334.750,242.996,119.788,56.785,506.791,-2.134, 2.247, 0.099,-2.980,-0.811,-4.252
1717274431.9719858,220.000,270.000,62.000,220.000,270.000,62.000,222.000,270.000,60.000, 0.098, 0.077, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,26.083, 0.000,340.153, 0.000,334.855,242.773,119.819,56.770,505.732,-2.142, 2.255, 0.092,-2.964,-1.091,-3.637
1717274432.080429,220.000,270.000,62.000,222.000,270.000,60.000,220.000,270.000,60.000, 0.077, 0.108, 2.000, 0.000, 2.000, 0.000,26.083, 0.000,-18.575, 0.000,-414.761, 0.000,334.619,242.381,119.593,56.757,504.748,-2.149, 2.259, 0.071,-2.886,-0.829,-2.815
1717274432.174399,222.000,270.000,60.000,220.000,270.000,60.000,220.000,270.000,62.000, 0.108, 0.095,-2.000, 0.000,-2.000, 0.000,-18.575, 0.000, 0.000, 0.000,196.257, 0.000,334.663,242.435,119.646,56.730,505.218,-2.146, 2.257, 0.076,-2.905,-0.820,-3.055
1717274432.261354,220.000,270.000,60.000,220.000,270.000,62.000,222.000,270.000,60.000, 0.095, 0.087, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,22.945, 0.000,263.236, 0.000,334.652,242.996,119.704,56.905,505.447,-2.143, 2.255, 0.096,-2.956,-1.249,-3.694
1717274432.365599,220.000,270.000,62.000,222.000,270.000,60.000,222.000,272.000,62.000, 0.087, 0.104, 2.000, 0.000, 2.000, 0.000,22.945, 0.000, 0.000,19.205,-220.334,184.425,334.503,242.966,119.637,56.904,505.157,-2.146, 2.258, 0.096,-2.956,-1.354,-3.562
1717274432.460651,222.000,270.000,60.000,222.000,272.000,62.000,220.000,270.000,62.000, 0.104, 0.095, 0.000, 2.000, 0.000, 2.000, 0.000,19.205,-21.051,-21.051,-221.564,-423.708,334.616,242.422,119.583,56.787,504.590,-2.149, 2.259, 0.079,-2.887,-1.034,-2.998
1717274432.560035,222.000,272.000,62.000,220.000,270.000,62.000,220.000,270.000,62.000, 0.095, 0.099,-2.000,-2.000,-2.000,-2.000,-21.051,-21.051, 0.000, 0.000,211.734,211.734,334.619,242.381,119.593,56.757,504.748,-2.149, 2.259, 0.071,-2.886,-0.829,-2.815
1717274432.653408,220.000,270.000,62.000,220.000,270.000,62.000,222.000,270.000,61.000, 0.099, 0.093, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,21.394, 0.000,228.842, 0.000,334.725,242.814,119.692,56.841,506.053,-2.140, 2.251, 0.092,-2.923,-0.924,-3.814
1717274432.7177331,220.000,270.000,62.000,222.000,270.000,61.000,222.000,270.000,61.000, 0.093, 0.064, 2.000, 0.000, 2.000, 0.000,21.394, 0.000, 0.000, 0.000,-333.280, 0.000,334.874,243.090,119.919,56.798,505.875,-2.140, 2.255, 0.085,-3.025,-0.819,-3.549
1717274432.787393,222.000,270.000,61.000,222.000,270.000,61.000,222.000,268.000,63.000, 0.064, 0.070, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-28.660, 0.000,-410.692,335.197,243.225,120.594,56.220,507.295,-2.128, 2.256, 0.084,-3.355,-0.495,-3.781
1717274432.879595,222.000,270.000,61.000,222.000,268.000,63.000,224.000,272.000,60.000, 0.070, 0.092, 0.000,-2.000, 0.000,-2.000, 0.000,-28.660,21.697,43.395,235.389,781.699,334.847,243.242,121.494,55.101,508.531,-2.127, 2.278, 0.098,-3.977,-1.496,-3.526
1717274432.9459012,222.000,268.000,63.000,224.000,272.000,60.000,222.000,272.000,61.000, 0.092, 0.066, 2.000, 4.000, 2.000, 4.000,21.697,43.395,-30.148, 0.000,-781.525,-654.137,333.962,243.541,120.896,55.397,511.665,-2.124, 2.268, 0.084,-3.774,-0.744,-3.571
1717274433.0191429,224.000,272.000,60.000,222.000,272.000,61.000,222.000,274.000,61.000, 0.066, 0.073,-2.000, 0.000,-2.000, 0.000,-30.148, 0.000, 0.000,27.349,412.266,373.992,333.635,243.198,120.440,55.637,510.793,-2.135, 2.270, 0.090,-3.568,-1.273,-3.353
1717274433.1035619,222.000,272.000,61.000,222.000,274.000,61.000,224.000,270.000,60.000, 0.073, 0.085, 0.000, 2.000, 0.000, 2.000, 0.000,27.349,23.654,-47.308,279.753,-882.964,334.858,242.207,121.131,54.994,512.610,-2.129, 2.267, 0.076,-3.614,-0.663,-3.235
1717274433.183698,222.000,274.000,61.000,224.000,270.000,60.000,224.000,272.000,60.000, 0.085, 0.080, 2.000,-4.000, 2.000,-4.000,23.654,-47.308, 0.000,24.993,-295.592,903.511,334.667,242.679,120.318,56.112,508.224, 2.165,-2.288,-0.094,-3.218,-1.931,-2.887
1717274433.2606459,224.000,270.000,60.000,224.000,272.000,60.000,222.000,268.000,61.000, 0.080, 0.077, 0.000, 2.000, 0.000, 2.000, 0.000,24.993,-25.982,-51.965,-337.543,-999.777,333.879,243.156,118.325,58.143,505.728,-2.170, 2.254, 0.094,-2.226,-1.897,-2.934
1717274433.3442938,224.000,272.000,60.000,222.000,268.000,61.000,220.000,264.000,62.000, 0.077, 0.084,-2.000,-4.000,-2.000,-4.000,-25.982,-51.965,-23.923,-47.846,24.635,49.270,334.237,243.160,114.588,62.185,504.047,-2.210, 2.201, 0.094, 0.181,-1.616,-3.292
1717274433.432907,222.000,268.000,61.000,220.000,264.000,62.000,222.000,262.000,61.000, 0.084, 0.089,-2.000,-4.000,-2.000,-4.000,-23.923,-47.846,22.548,-22.548,523.926,285.208,336.279,241.885,116.080,60.944,504.619,-2.187, 2.196, 0.065,-0.217, 0.002,-3.374
1717274433.512288,220.000,264.000,62.000,222.000,262.000,61.000,220.000,262.000,62.000, 0.089, 0.079, 2.000,-2.000, 2.000,-2.000,22.548,-22.548,-25.184, 0.000,-601.043,283.928,336.220,241.829,117.517,59.457,503.554,-2.173, 2.217, 0.069,-1.159,-0.265,-3.306
1717274433.581494,222.000,262.000,61.000,220.000,262.000,62.000,218.000,262.000,62.000, 0.079, 0.069,-2.000, 0.000,-2.000, 0.000,-25.184, 0.000,-28.954, 0.000,-54.586, 0.000,335.048,241.476,117.840,58.449,502.179,-2.166, 2.231, 0.068,-1.724,-0.441,-3.041
1717274433.675435,220.000,262.000,62.000,218.000,262.000,62.000,220.000,262.000,61.000, 0.069, 0.094,-2.000, 0.000,-2.000, 0.000,-28.954, 0.000,21.272, 0.000,534.211, 0.000,335.499,241.772,118.104,58.498,502.097,-2.162, 2.229, 0.076,-1.782,-0.488,-3.414
1717274433.754955,218.000,262.000,62.000,220.000,262.000,61.000,220.000,262.000,62.000, 0.094, 0.079, 2.000, 0.000, 2.000, 0.000,21.272, 0.000, 0.000, 0.000,-267.671, 0.000,335.574,242.448,118.387,58.433,503.807,-2.149, 2.223, 0.091,-1.942,-0.345,-4.360
1717274433.848394,220.000,262.000,61.000,220.000,262.000,62.000,220.000,264.000,61.000, 0.079, 0.093, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,21.414, 0.000,229.279,335.271,242.065,118.451,58.126,502.760,-2.154, 2.232, 0.099,-2.071,-0.939,-4.162
