time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,dxp,dyp,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1719408753.631346,434.000,216.000,67.000,428.000,234.000,67.000,424.000,260.000,67.000, 0.073, 0.104,-6.000,18.000,-6.000,18.000,-82.376,247.127,-38.401,249.607,422.167,23.808,318.892,239.922,107.613,61.482,473.848,-2.166, 2.185, 0.095,-0.499, 0.119,-5.092,-1,0,-0.18999,105.90562,-0.49898,0.04553,0.59744,-20.00000,-0.20507,-104.00000,-0.08025,-1.00000,0.00000
1719408753.715795,428.000,234.000,67.000,424.000,260.000,67.000,416.000,286.000,67.000, 0.104, 0.084,-4.000,26.000,-4.000,26.000,-38.401,249.607,-94.742,307.911,-667.229,690.482,320.607,238.755,107.990,61.486,471.417,-2.177, 2.190, 0.063,-0.308, 0.499,-3.790,0,1,-0.44684,106.45187,-0.30787,0.04377,0.64630,-46.00000,-0.27514,-96.00000,-0.08525,0.00000,1.00000
1719408753.781127,424.000,260.000,67.000,416.000,286.000,67.000,414.000,302.000,67.000, 0.084, 0.065,-8.000,26.000,-8.000,26.000,-94.742,307.911,-30.565,244.517,980.776,-968.808,320.940,237.901,108.015,61.274,470.993,-2.181, 2.191, 0.033,-0.247, 1.168,-2.866,0,2,-0.58308,112.60551,-0.24651,0.04328,0.52115,-62.00000,-0.17720,-94.00000,-0.08525,0.00000,2.00000
1719408753.841386,416.000,286.000,67.000,414.000,302.000,67.000,412.000,320.000,67.000, 0.065, 0.060,-2.000,16.000,-2.000,16.000,-30.565,244.517,-33.190,298.711,-43.571,899.360,321.045,236.601,108.083,60.787,469.573,-2.187, 2.198, 0.028,-0.263, 0.921,-2.391,1,3,-0.71574,121.91801,-0.26299,0.04357,0.59001,-80.00000,-0.17400,-92.00000,-0.09091,1.00000,3.00000
1719408753.9231548,414.000,302.000,67.000,412.000,320.000,67.000,412.000,334.000,66.000, 0.060, 0.082,-2.000,18.000,-2.000,18.000,-33.190,298.711, 0.000,171.474,406.518,-1558.420,321.332,235.819,107.890,60.884,467.108,-2.201, 2.205,-0.026,-0.095, 1.698,-0.368,1,4,-0.79615,131.52946,-0.09460,0.04194,0.55830,-94.00000,-0.13577,-92.00000,-0.09158,1.00000,4.00000
1719408753.9804642,412.000,320.000,67.000,412.000,334.000,66.000,400.000,336.000,66.000, 0.082, 0.057, 0.000,14.000, 0.000,14.000, 0.000,171.474,-209.311,34.885,-3650.939,-2382.466,321.099,236.065,107.649,61.153,466.437,-2.207, 2.207,-0.043,-0.011, 1.935, 0.300,1,3,-0.87606,124.96399,-0.01142,0.04111,0.37960,-96.00000,-0.34013,-80.00000,-0.09225,1.00000,3.00000
1719408754.044163,412.000,334.000,66.000,400.000,336.000,66.000,390.000,338.000,67.000, 0.057, 0.064,-12.000, 2.000,-12.000, 2.000,-209.311,34.885,-156.727,31.345,824.137,-55.478,320.131,236.536,107.575,60.999,467.068,-2.200, 2.208,-0.030,-0.212, 1.766,-0.218,0,3,-0.95055,120.43255,-0.21174,0.04322,0.39024,-98.00000,-0.32100,-70.00000,-0.08725,0.00000,3.00000
1719408754.107697,400.000,336.000,66.000,390.000,338.000,67.000,384.000,336.000,67.000, 0.064, 0.064,-10.000, 2.000,-10.000, 2.000,-156.727,31.345,-94.440,-31.480,980.399,-988.879,319.272,237.006,107.356,61.102,465.278, 2.224,-2.235, 0.040,-0.297, 1.530, 0.553,0,2,-0.98279,115.37764,-0.29670,0.04422,0.33067,-96.00000,-0.26377,-64.00000,-0.08725,0.00000,2.00000
1719408754.179931,390.000,338.000,67.000,384.000,336.000,67.000,380.000,332.000,66.000, 0.064, 0.072,-6.000,-2.000,-6.000,-2.000,-94.440,-31.480,-55.448,-55.448,540.511,-332.252,319.234,237.918,107.710,61.069,466.766,-2.193, 2.215,-0.060,-0.567, 2.521, 0.599,0,2,-0.99289,109.83624,-0.56718,0.04721,0.29884,-92.00000,-0.23487,-60.00000,-0.08725,0.00000,2.00000
1719408754.247211,384.000,336.000,67.000,380.000,332.000,66.000,376.000,324.000,66.000, 0.072, 0.067,-4.000,-4.000,-4.000,-4.000,-55.448,-55.448,-59.392,-118.783,-58.546,-940.384,318.825,238.879,107.652,61.235,469.462,-2.179, 2.204,-0.033,-0.633, 2.572,-0.823,-1,1,-0.98279,100.95544,-0.63338,0.04818,0.22790,-84.00000,-0.23779,-56.00000,-0.08158,-1.00000,1.00000
