time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1719417376.321568,226.000,330.000,66.000,232.000,336.000,68.000,242.000,344.000,66.000, 0.066, 0.077, 6.000, 6.000, 6.000, 6.000,91.565,91.565,130.033,104.026,500.203,162.034,319.989,239.268,106.706,62.868,469.829,-2.206, 2.188, 0.243, 0.131,-5.347,-7.317,-2.21430,130.00000,0.13106,0.06605,0.17680,-104.00000,-0.13260,78.00000,-0.07259,0.00000,0.00000
1719417376.387365,232.000,336.000,68.000,242.000,344.000,66.000,252.000,350.000,66.000, 0.077, 0.066,10.000, 8.000,10.000, 8.000,130.033,104.026,151.687,91.012,328.474,-197.401,319.528,238.309,106.007,63.091,463.347,-2.235, 2.211, 0.153, 0.489,-4.205,-3.664,-2.12448,129.32131,0.48889,0.06223,0.18700,-110.00000,-0.11560,68.00000,-0.07259,0.00000,1.00000
1719417376.446529,242.000,344.000,66.000,252.000,350.000,66.000,258.000,356.000,66.000, 0.066, 0.059,10.000, 6.000,10.000, 6.000,151.687,91.012,101.281,101.281,-850.865,173.339,319.986,238.147,106.732,62.335,470.992,-2.204, 2.184, 0.318,-0.084,-7.393,-9.195,-2.06165,131.52946,-0.08376,0.06800,0.19720,-116.00000,-0.10540,62.00000,-0.07259,0.00000,1.00000
1719417376.5178869,252.000,350.000,66.000,258.000,356.000,66.000,260.000,356.000,67.000, 0.059, 0.071, 6.000, 6.000, 6.000, 6.000,101.281,101.281,28.049, 0.000,-1027.052,-1420.435,319.697,238.588,106.441,62.817,466.434,-2.219, 2.201, 0.182, 0.274,-4.285,-5.170,-2.04814,130.59862,0.27409,0.06428,0.19720,-116.00000,-0.10200,60.00000,-0.07259,0.00000,1.00000
1719417376.5808141,258.000,356.000,66.000,260.000,356.000,67.000,266.000,358.000,66.000, 0.071, 0.063, 2.000, 0.000, 2.000, 0.000,28.049, 0.000,95.349,31.783,1069.481,505.075,319.790,238.249,106.273,62.916,464.051,-2.230, 2.209, 0.133, 0.440,-3.473,-3.390,-1.99997,129.76903,0.43997,0.06241,0.20060,-118.00000,-0.09180,54.00000,-0.07259,0.00000,1.00000
1719417376.645,260.000,356.000,67.000,266.000,358.000,66.000,266.000,358.000,66.000, 0.063, 0.064, 6.000, 2.000, 6.000, 2.000,95.349,31.783, 0.000, 0.000,-1485.507,-495.169,319.535,238.223,106.079,62.964,464.801,-2.231, 2.207, 0.180, 0.424,-4.729,-4.554,-1.99997,129.76903,0.42361,0.06236,0.20060,-118.00000,-0.09180,54.00000,-0.07259,0.00000,1.00000
1719417376.707834,266.000,358.000,66.000,266.000,358.000,66.000,266.000,358.000,65.000, 0.064, 0.063, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,319.850,237.887,106.473,62.447,470.195,-2.210, 2.186, 0.317, 0.018,-7.561,-8.929,-1.99997,129.76903,0.01832,0.06640,0.20060,-118.00000,-0.09180,54.00000,-0.07259,0.00000,2.00000
1719417376.7752252,266.000,358.000,66.000,266.000,358.000,65.000,260.000,356.000,66.000, 0.063, 0.068, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-88.865,-29.622,-1316.171,-438.724,319.403,238.217,105.981,62.988,465.406,-2.230, 2.205, 0.208, 0.399,-5.439,-5.297,-2.04814,130.59862,0.39911,0.06239,0.19720,-116.00000,-0.10200,60.00000,-0.07259,0.00000,1.00000
1719417376.84929,266.000,358.000,65.000,260.000,356.000,66.000,256.000,352.000,66.000, 0.068, 0.074,-6.000,-2.000,-6.000,-2.000,-88.865,-29.622,-54.052,-54.052,470.432,-330.120,320.012,238.303,106.640,62.543,469.626,-2.208, 2.187, 0.316,-0.049,-7.490,-8.934,-2.08994,128.99612,-0.04864,0.06690,0.19040,-112.00000,-0.10880,64.00000,-0.07259,0.00000,1.00000
1719417376.9128802,260.000,356.000,66.000,256.000,352.000,66.000,250.000,348.000,66.000, 0.074, 0.064,-4.000,-4.000,-4.000,-4.000,-54.052,-54.052,-94.338,-62.892,-633.432,-139.002,319.929,238.518,106.688,62.559,469.379,-2.209, 2.191, 0.263, 0.061,-6.040,-7.627,-2.14587,128.70120,0.06109,0.06577,0.18360,-108.00000,-0.11900,70.00000,-0.07259,0.00000,1.00000
1719417376.972685,256.000,352.000,66.000,250.000,348.000,66.000,240.000,342.000,66.000, 0.064, 0.060,-6.000,-4.000,-6.000,-4.000,-94.338,-62.892,-167.101,-100.261,-1215.871,-624.429,320.847,239.610,107.640,62.386,470.226,-2.190, 2.188, 0.161,-0.073,-2.515,-5.904,-2.23590,129.63024,-0.07327,0.06715,0.17340,-102.00000,-0.13600,80.00000,-0.07259,0.00000,0.00000
1719417377.038229,250.000,348.000,66.000,240.000,342.000,66.000,232.000,334.000,66.000, 0.060, 0.066,-10.000,-6.000,-10.000,-6.000,-167.101,-100.261,-122.065,-122.065,687.167,-332.692,320.833,239.430,107.488,62.453,470.198,-2.191, 2.186, 0.147, 0.031,-2.108,-5.576,-2.32324,128.76335,0.03109,0.06609,0.15980,-94.00000,-0.14960,88.00000,-0.07259,0.00000,0.00000
