time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,br,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1719603157.2040472,338.000,258.000,66.000,338.000,258.000,66.000,340.000,254.000,66.000, 0.063, 0.090, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,22.202,-44.405,246.475,-492.950,66.0000,319.258,240.089,107.305,62.254,469.980,-2.185, 2.196,-0.001,-0.264, 1.807,-1.752,-0.61073,24.41311,-0.26428,0.08073,0.57951,-14.00000,-0.12662,-20.00000,-0.05927,0.00000,0.00000
1719603157.284179,338.000,258.000,66.000,340.000,254.000,66.000,342.000,254.000,66.000, 0.090, 0.080, 2.000,-4.000, 2.000,-4.000,22.202,-44.405,24.997, 0.000,34.926,554.993,66.0000,318.530,240.562,107.303,62.130,470.267,-2.180, 2.198, 0.029,-0.435, 1.104,-2.603,-0.56673,26.07681,-0.43508,0.08265,0.77235,-14.00000,-0.11919,-22.00000,-0.05361,-1.00000,0.00000
1719603157.3436549,340.000,254.000,66.000,342.000,254.000,66.000,346.000,252.000,66.000, 0.080, 0.060, 2.000, 0.000, 2.000, 0.000,24.997, 0.000,67.156,-33.578,707.806,-563.739,66.0000,318.967,240.619,107.508,62.081,470.979,-2.176, 2.195, 0.016,-0.463, 1.659,-2.497,-0.43241,28.63564,-0.46314,0.08317,0.67042,-12.00000,-0.00908,-26.00000,-0.05294,-1.00000,0.00000
1719603157.412735,342.000,254.000,66.000,346.000,252.000,66.000,344.000,250.000,65.000, 0.060, 0.069, 4.000,-2.000, 4.000,-2.000,67.156,-33.578,-28.959,-28.959,-1391.676,66.884,65.0000,318.368,241.146,107.060,62.579,469.888,-2.185, 2.198, 0.028,-0.320, 0.967,-2.432,-0.39479,26.00000,-0.32022,0.08190,0.66448,-10.00000,-0.30265,-24.00000,-0.05228,-1.00000,-1.00000
1719603157.473304,346.000,252.000,66.000,344.000,250.000,65.000,346.000,250.000,66.000, 0.069, 0.061,-2.000,-2.000,-2.000,-2.000,-28.959,-28.959,33.020, 0.000,1023.245,478.101,66.0000,318.339,241.040,107.040,62.419,471.755,-2.175, 2.189, 0.047,-0.313, 1.021,-3.471,-0.36717,27.85678,-0.31331,0.08199,0.76104,-10.00000,-0.10285,-26.00000,-0.05161,-1.00000,-1.00000
1719603157.5374138,344.000,250.000,65.000,346.000,250.000,66.000,346.000,248.000,66.000, 0.061, 0.064, 2.000, 0.000, 2.000, 0.000,33.020, 0.000, 0.000,-31.196,-515.046,-486.610,66.0000,318.355,241.148,106.965,62.653,470.316,-2.185, 2.196, 0.045,-0.254, 0.593,-2.923,-0.29850,27.20294,-0.25383,0.08152,0.65892,-8.00000,-0.19773,-26.00000,-0.05094,-1.00000,-1.00000
1719603157.612992,346.000,250.000,66.000,346.000,248.000,66.000,346.000,244.000,66.000, 0.064, 0.076, 0.000,-2.000, 0.000,-2.000, 0.000,-31.196, 0.000,-52.951, 0.000,-287.988,66.0000,318.085,241.422,106.645,62.901,471.525,-2.182, 2.187, 0.078,-0.117, 0.038,-4.140,-0.15265,26.30589,-0.11731,0.08021,0.55021,-4.00000,-0.19652,-26.00000,-0.05028,-1.00000,-1.00000
1719603157.6758552,346.000,248.000,66.000,346.000,244.000,66.000,346.000,242.000,66.000, 0.076, 0.063, 0.000,-4.000, 0.000,-4.000, 0.000,-52.951, 0.000,-31.788, 0.000,336.371,66.0000,318.763,240.982,107.164,62.428,472.150,-2.175, 2.186, 0.067,-0.269, 0.547,-4.058,-0.07677,26.07681,-0.26918,0.08186,0.64000,-2.00000,-0.19531,-26.00000,-0.04961,-1.00000,0.00000
1719603157.741086,346.000,244.000,66.000,346.000,242.000,66.000,344.000,242.000,66.000, 0.063, 0.065, 0.000,-2.000, 0.000,-2.000, 0.000,-31.788,-30.646, 0.000,-469.592,487.088,66.0000,319.755,240.559,107.535,62.380,470.996,-2.182, 2.192, 0.043,-0.245, 0.811,-3.079,-0.08314,24.08319,-0.24486,0.08174,0.73619,-2.00000,-0.29669,-24.00000,-0.05461,0.00000,0.00000
1719603157.803915,346.000,242.000,66.000,344.000,242.000,66.000,344.000,240.000,66.000, 0.065, 0.063,-2.000, 0.000,-2.000, 0.000,-30.646, 0.000, 0.000,-31.897,488.759,-508.707,66.0000,320.271,240.588,107.610,62.504,471.287,-2.181, 2.188, 0.048,-0.162, 0.855,-3.348,0.00000,24.00000,-0.16191,0.08099,0.63369,0.00000,-0.19947,-24.00000,-0.05461,0.00000,0.00000
1719603157.867189,344.000,242.000,66.000,344.000,240.000,66.000,342.000,238.000,66.000, 0.063, 0.063, 0.000,-2.000, 0.000,-2.000, 0.000,-31.897,-31.585,-31.585,-498.807, 4.926,66.0000,320.663,240.815,107.917,62.404,471.847,-2.175, 2.187, 0.029,-0.270, 1.556,-3.085,0.09066,22.09072,-0.26963,0.08221,0.62720,2.00000,-0.30094,-22.00000,-0.05461,0.00000,0.00000
1719603157.937352,344.000,240.000,66.000,342.000,238.000,66.000,340.000,236.000,66.000, 0.063, 0.070,-2.000,-2.000,-2.000,-2.000,-31.585,-31.585,-28.500,-28.500,43.959,43.959,66.0000,320.351,241.042,107.997,62.322,471.525,-2.176, 2.191, 0.051,-0.382, 0.837,-3.476,0.19740,20.39608,-0.38240,0.08352,0.62061,4.00000,-0.30641,-20.00000,-0.05461,0.00000,-1.00000
1719603158.008298,342.000,238.000,66.000,340.000,236.000,66.000,336.000,234.000,66.000, 0.070, 0.071,-2.000,-2.000,-2.000,-2.000,-28.500,-28.500,-56.394,-28.197,-393.257, 4.276,66.0000,320.750,240.867,107.894,62.647,469.327,-2.188, 2.198, 0.015,-0.231, 1.236,-2.000,0.35877,17.08801,-0.23087,0.08212,0.61393,6.00000,-0.41456,-16.00000,-0.05461,0.00000,0.00000
1719603158.068515,340.000,236.000,66.000,336.000,234.000,66.000,336.000,230.000,66.000, 0.071, 0.060,-4.000,-2.000,-4.000,-2.000,-56.394,-28.197, 0.000,-66.438,936.678,-635.175,66.0000,320.462,241.339,107.489,63.011,471.423,-2.183, 2.186, 0.033,-0.043, 1.266,-3.006,0.55860,18.86796,-0.04327,0.08027,0.50457,10.00000,-0.22162,-16.00000,-0.05461,0.00000,-1.00000
1719603158.143052,336.000,234.000,66.000,336.000,230.000,66.000,334.000,226.000,66.000, 0.060, 0.075, 0.000,-4.000, 0.000,-4.000, 0.000,-66.438,-26.815,-53.630,-359.521,171.729,66.0000,321.191,241.001,107.821,62.858,471.148,-2.183, 2.187, 0.016,-0.072, 1.650,-2.510,0.78540,19.79899,-0.07219,0.08060,0.49112,14.00000,-0.32346,-14.00000,-0.06028,1.00000,-1.00000
1719603158.1986408,336.000,230.000,66.000,334.000,226.000,66.000,332.000,220.000,66.000, 0.075, 0.056,-2.000,-4.000,-2.000,-4.000,-26.815,-53.630,-35.982,-107.947,-164.933,-977.231,66.0000,321.195,241.032,107.819,62.879,471.038,-2.183, 2.187, 0.015,-0.072, 1.664,-2.468,1.03038,23.32381,-0.07174,0.08063,0.37489,20.00000,-0.32930,-12.00000,-0.06094,1.00000,-1.00000
1719603158.306327,334.000,226.000,66.000,332.000,220.000,66.000,328.000,210.000,66.000, 0.056, 0.108,-2.000,-6.000,-2.000,-6.000,-35.982,-107.947,-37.145,-92.862,-10.793,140.086,66.0000,320.664,240.848,107.579,62.784,471.508,-2.181, 2.184, 0.032,-0.054, 1.394,-3.051,1.31019,31.04835,-0.05368,0.08047,0.14930,30.00000,-0.43783,-8.00000,-0.05594,0.00000,0.00000
1719603158.3700511,332.000,220.000,66.000,328.000,210.000,66.000,328.000,202.000,67.000, 0.108, 0.064,-4.000,-10.000,-4.000,-10.000,-37.145,-92.862, 0.000,-125.598,583.163,-513.955,67.0000,320.043,241.094,107.457,62.715,472.170,-2.178, 2.184, 0.027,-0.138, 1.602,-3.031,1.36330,38.83298,-0.13786,0.08138,0.21802,38.00000,-0.24526,-8.00000,-0.05594,0.00000,-1.00000
1719603158.436925,328.000,210.000,66.000,328.000,202.000,67.000,328.000,190.000,66.000, 0.064, 0.067, 0.000,-8.000, 0.000,-8.000, 0.000,-125.598, 0.000,-179.236, 0.000,-801.154,66.0000,320.062,241.496,107.789,62.438,473.660,-2.166, 2.181, 0.046,-0.334, 1.517,-3.930,1.41214,50.63596,-0.33440,0.08352,-0.01490,50.00000,-0.24489,-8.00000,-0.05594,0.00000,-1.00000
1719603158.501274,328.000,202.000,67.000,328.000,190.000,66.000,328.000,180.000,66.000, 0.067, 0.064, 0.000,-12.000, 0.000,-12.000, 0.000,-179.236, 0.000,-155.553, 0.000,368.403,66.0000,319.933,242.101,107.760,62.607,473.580,-2.161, 2.177, 0.051,-0.374, 1.655,-4.304,1.43824,60.53098,-0.37358,0.08409,0.04640,60.00000,-0.24452,-8.00000,-0.05594,0.00000,-2.00000
1719603158.564001,328.000,190.000,66.000,328.000,180.000,66.000,328.000,168.000,66.000, 0.064, 0.063, 0.000,-10.000, 0.000,-10.000, 0.000,-155.553, 0.000,-191.519, 0.000,-574.013,66.0000,320.208,242.741,107.928,62.625,476.035,-2.152, 2.169, 0.071,-0.385, 1.592,-5.328,1.46014,72.44308,-0.38488,0.08440,-0.09145,72.00000,-0.24414,-8.00000,-0.05594,0.00000,-2.00000
1719603158.631457,328.000,180.000,66.000,328.000,168.000,66.000,330.000,160.000,68.000, 0.063, 0.068, 0.000,-12.000, 0.000,-12.000, 0.000,-191.519,29.593,-118.373,437.882,1082.306,68.0000,319.760,242.933,107.857,62.476,476.518,-2.144, 2.166, 0.068,-0.480, 1.962,-5.568,1.44644,80.62258,-0.48036,0.08559,0.07141,80.00000,-0.14118,-10.00000,-0.05594,0.00000,-2.00000
1719603158.690366,328.000,168.000,66.000,330.000,160.000,68.000,330.000,152.000,66.000, 0.068, 0.059, 2.000,-8.000, 2.000,-8.000,29.593,-118.373, 0.000,-135.837,-502.483,-296.526,66.0000,319.523,243.503,107.831,62.629,477.045,-2.144, 2.165, 0.097,-0.494, 1.210,-6.326,1.45765,88.56636,-0.49368,0.08597,0.04171,88.00000,-0.23681,-10.00000,-0.05594,0.00000,-3.00000
1719603158.7631202,330.000,160.000,68.000,330.000,152.000,66.000,332.000,148.000,68.000, 0.059, 0.073, 0.000,-8.000, 0.000,-8.000, 0.000,-135.837,27.479,-54.957,377.536,1111.230,68.0000,319.429,243.994,107.462,63.058,477.591,-2.143, 2.156, 0.115,-0.289, 0.998,-7.084,1.44109,92.77931,-0.28910,0.08407,0.21681,92.00000,-0.13376,-12.00000,-0.05594,0.00000,-3.00000
1719603158.828473,330.000,152.000,66.000,332.000,148.000,68.000,332.000,144.000,68.000, 0.073, 0.065, 2.000,-4.000, 2.000,-4.000,27.479,-54.957, 0.000,-61.276,-420.947,-96.804,68.0000,319.485,243.712,107.230,63.361,476.896,-2.154, 2.159, 0.121,-0.108, 0.405,-6.829,1.44644,96.74709,-0.10812,0.08232,0.19953,96.00000,-0.22929,-12.00000,-0.05594,0.00000,-3.00000
1719603158.896529,332.000,148.000,68.000,332.000,144.000,68.000,334.000,142.000,67.000, 0.065, 0.068, 0.000,-4.000, 0.000,-4.000, 0.000,-61.276,29.392,-29.392,431.955,468.573,67.0000,319.572,243.488,107.309,63.078,477.560,-2.146, 2.154, 0.122,-0.150, 0.739,-7.246,1.42890,98.99495,-0.14951,0.08281,0.28466,98.00000,-0.12614,-14.00000,-0.05594,0.00000,-3.00000
1719603158.9593081,332.000,144.000,68.000,334.000,142.000,67.000,334.000,144.000,67.000, 0.068, 0.063, 2.000,-2.000, 2.000,-2.000,29.392,-29.392, 0.000,31.845,-468.007,975.074,67.0000,319.400,242.418,107.242,62.742,476.908,-2.152, 2.157, 0.137,-0.142, 0.072,-7.346,1.42598,97.01546,-0.14195,0.08280,0.47878,96.00000,-0.22159,-14.00000,-0.05594,0.00000,-2.00000
1719603159.021437,334.000,142.000,67.000,334.000,144.000,67.000,334.000,146.000,67.000, 0.063, 0.062, 0.000, 2.000, 0.000, 2.000, 0.000,31.845, 0.000,32.161, 0.000, 5.067,67.0000,320.072,241.675,106.983,63.091,475.807,-2.164, 2.155, 0.144, 0.190,-0.420,-7.233,1.42295,95.03683,0.19000,0.07939,0.48080,94.00000,-0.22093,-14.00000,-0.05594,0.00000,-1.00000
1719603159.0906749,334.000,144.000,67.000,334.000,146.000,67.000,336.000,154.000,68.000, 0.062, 0.069, 0.000, 2.000, 0.000, 2.000, 0.000,32.161,28.885,115.542,417.186,1204.256,68.0000,320.282,241.148,106.411,63.711,474.544,-2.183, 2.159, 0.109, 0.615,-0.083,-5.682,1.38685,87.47571,0.61455,0.07483,0.79068,86.00000,-0.11769,-16.00000,-0.05594,0.00000,-1.00000
1719603159.155519,334.000,146.000,67.000,336.000,154.000,68.000,334.000,160.000,68.000, 0.069, 0.065, 2.000, 8.000, 2.000, 8.000,28.885,115.542,-30.843,92.528,-921.091,-354.904,68.0000,319.893,240.161,106.459,63.035,475.062,-2.177, 2.159, 0.105, 0.483, 0.205,-5.762,1.39755,81.21576,0.48307,0.07591,0.71005,80.00000,-0.31563,-14.00000,-0.05594,0.00000,0.00000
1719603159.218806,336.000,154.000,68.000,334.000,160.000,68.000,332.000,170.000,67.000, 0.065, 0.063,-2.000, 6.000,-2.000, 6.000,-30.843,92.528,-31.605,158.023,-12.040,1034.977,67.0000,320.392,239.817,106.999,62.550,474.460,-2.170, 2.161, 0.111, 0.257, 0.179,-6.038,1.40102,71.02112,0.25663,0.07804,0.93098,70.00000,-0.32147,-12.00000,-0.05594,0.00000,0.00000
1719603159.292383,334.000,160.000,68.000,332.000,170.000,67.000,330.000,178.000,67.000, 0.063, 0.074,-2.000,10.000,-2.000,10.000,-31.605,158.023,-27.198,108.793,59.924,-669.491,67.0000,320.177,238.601,106.899,62.379,470.979,-2.193, 2.183, 0.072, 0.272, 0.002,-3.787,1.41088,62.80127,0.27159,0.07776,0.85759,62.00000,-0.32741,-10.00000,-0.05594,0.00000,1.00000
1719603159.360929,332.000,170.000,67.000,330.000,178.000,67.000,326.000,186.000,67.000, 0.074, 0.069,-2.000, 8.000,-2.000, 8.000,-27.198,108.793,-58.379,116.758,-455.073,116.246,67.0000,319.680,237.272,106.527,61.964,471.207,-2.192, 2.179, 0.063, 0.369, 0.361,-3.682,1.46014,54.33231,0.36937,0.07660,0.88067,54.00000,-0.43602,-6.00000,-0.05594,0.00000,2.00000
1719603159.421181,330.000,178.000,67.000,326.000,186.000,67.000,324.000,194.000,67.000, 0.069, 0.060,-4.000, 8.000,-4.000, 8.000,-58.379,116.758,-33.159,132.637,418.132,263.266,67.0000,321.129,236.257,107.019,61.717,469.680,-2.196, 2.182, 0.012, 0.398, 1.563,-2.196,1.48406,46.17359,0.39769,0.07611,0.90413,46.00000,-0.34614,-4.00000,-0.06161,1.00000,3.00000
1719603159.485355,326.000,186.000,67.000,324.000,194.000,67.000,320.000,200.000,66.000, 0.060, 0.064,-2.000, 8.000,-2.000, 8.000,-33.159,132.637,-62.398,93.596,-456.102,-609.005,66.0000,320.737,236.107,107.386,61.214,467.995,-2.196, 2.195,-0.032, 0.032, 2.317,-0.661,1.57080,40.00000,0.03171,0.07976,0.82537,40.00000,-0.45504,-0.00000,-0.05661,0.00000,3.00000
1719603159.5525131,324.000,194.000,67.000,320.000,200.000,66.000,320.000,204.000,66.000, 0.064, 0.067,-4.000, 6.000,-4.000, 6.000,-62.398,93.596, 0.000,59.503,928.207,-507.166,66.0000,321.781,236.608,108.092,61.127,468.642,-2.192, 2.197,-0.016,-0.115, 1.975,-1.131,1.57080,36.00000,-0.11533,0.08129,0.74039,36.00000,-0.26284,-0.00000,-0.06228,1.00000,3.00000
1719603159.617302,320.000,200.000,66.000,320.000,204.000,66.000,318.000,206.000,67.000, 0.067, 0.065, 0.000, 4.000, 0.000, 4.000, 0.000,59.503,-30.873,30.873,-476.565,-441.943,67.0000,322.056,237.187,108.180,61.414,468.162,-2.193, 2.198,-0.034,-0.121, 2.379,-0.614,1.62955,34.05877,-0.12118,0.08141,0.64911,34.00000,-0.36543,2.00000,-0.06861,2.00000,2.00000
1719603159.6829891,320.000,204.000,66.000,318.000,206.000,67.000,316.000,206.000,66.000, 0.065, 0.066,-2.000, 2.000,-2.000, 2.000,-30.873,30.873,-30.443, 0.000, 6.547,-469.926,66.0000,321.625,238.196,108.172,61.643,468.619,-2.189, 2.199,-0.036,-0.230, 2.507,-0.616,1.68791,34.23449,-0.22969,0.08261,0.55143,34.00000,-0.37202,4.00000,-0.06427,1.00000,1.00000
1719603159.744879,318.000,206.000,67.000,316.000,206.000,66.000,316.000,204.000,66.000, 0.066, 0.062,-2.000, 0.000,-2.000, 0.000,-30.443, 0.000, 0.000,-32.328,492.074,-522.547,66.0000,321.861,238.915,107.788,62.389,469.548,-2.193, 2.190,-0.022, 0.094, 2.285,-1.113,1.68145,36.22154,0.09367,0.07932,0.44726,36.00000,-0.27611,4.00000,-0.06494,1.00000,1.00000
1719603159.824498,316.000,206.000,66.000,316.000,204.000,66.000,316.000,200.000,66.000, 0.062, 0.080, 0.000,-2.000, 0.000,-2.000, 0.000,-32.328, 0.000,-50.218, 0.000,-224.598,66.0000,320.277,239.300,107.171,62.402,471.290,-2.184, 2.184,-0.020, 0.056, 2.670,-1.622,1.67046,40.19950,0.05649,0.07967,0.33650,40.00000,-0.27630,4.00000,-0.05994,0.00000,0.00000
1719603159.883522,316.000,204.000,66.000,316.000,200.000,66.000,316.000,196.000,66.000, 0.080, 0.059, 0.000,-4.000, 0.000,-4.000, 0.000,-50.218, 0.000,-67.994, 0.000,-302.166,66.0000,319.793,240.111,107.914,61.597,473.203,-2.160, 2.184,-0.008,-0.567, 3.071,-2.632,1.66146,44.18144,-0.56715,0.08619,0.32165,44.00000,-0.27648,4.00000,-0.05994,0.00000,0.00000
1719603159.953185,316.000,200.000,66.000,316.000,196.000,66.000,320.000,190.000,66.000, 0.059, 0.070, 0.000,-4.000, 0.000,-4.000, 0.000,-67.994,57.257,-85.886,819.602,-256.115,66.0000,319.507,240.586,107.966,61.783,471.706,-2.170, 2.195, 0.017,-0.611, 1.803,-2.689,1.57080,50.00000,-0.61092,0.08693,0.20402,50.00000,-0.07149,-0.00000,-0.05994,0.00000,0.00000
1719603160.011262,316.000,196.000,66.000,320.000,190.000,66.000,324.000,182.000,66.000, 0.070, 0.058, 4.000,-6.000, 4.000,-6.000,57.257,-85.886,68.915,-137.831,200.852,-894.942,66.0000,318.841,240.829,107.245,62.328,472.043,-2.176, 2.189, 0.035,-0.311, 1.342,-3.145,1.50194,58.13777,-0.31076,0.08408,0.07962,58.00000,-0.05850,-4.00000,-0.05427,-1.00000,0.00000
