time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,br,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ball_target_x,ball_target_y,ballang,ballradscale,bm_pitch_angle,bm_pitch_r,bm_pitch_v,bm_roll_angle,bm_roll_r,bm_roll_v,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1720650535.5055192,278.000,310.000,66.000,274.000,308.000,67.000,270.000,306.000,66.000, 0.069, 0.059,-4.000,-2.000,-4.000,-2.000,-58.137,-29.068,-67.883,-33.941,-165.393,-82.696,66.0000,321.489,237.531,107.458,62.018,469.052,-2.199, 2.192,-0.026, 0.213, 2.155,-0.806,0.00000,0.00000,-2.21913,82.80097,-0.02636,-0.02636,0.00192,-0.02093,-0.02093,-0.01106,0.21297,0.03753,0.64676,-66.00000,-0.65047,50.00000,-0.07893,1.00000,2.00000
1720650535.5881321,274.000,308.000,67.000,270.000,306.000,66.000,270.000,300.000,65.000, 0.059, 0.083,-4.000,-2.000,-4.000,-2.000,-67.883,-33.941, 0.000,-72.686,822.353,-469.364,65.0000,322.115,237.895,107.542,62.340,468.905,-2.199, 2.188,-0.045, 0.285, 2.779,-0.427,0.00000,0.00000,-2.26553,78.10250,-0.02529,-0.02529,-0.01083,-0.01968,-0.01968,0.00923,0.28500,0.03667,0.43816,-60.00000,-0.46061,50.00000,-0.08526,2.00000,2.00000
1720650535.646732,270.000,306.000,66.000,270.000,300.000,65.000,266.000,298.000,65.000, 0.083, 0.059, 0.000,-6.000, 0.000,-6.000, 0.000,-72.686,-68.326,-34.163,-1167.116,658.029,65.0000,322.511,238.410,107.793,62.442,469.428,-2.194, 2.187,-0.061, 0.203, 3.345,-0.143,0.00000,0.00000,-2.32050,79.24645,-0.02362,-0.02362,0.00041,-0.02283,-0.02283,-0.01062,0.20299,0.03739,0.62666,-58.00000,-0.66812,54.00000,-0.08659,2.00000,1.00000
1720650535.713681,270.000,300.000,65.000,266.000,298.000,65.000,268.000,292.000,66.000, 0.059, 0.067,-4.000,-2.000,-4.000,-2.000,-68.326,-34.163,29.853,-89.558,1465.459,-826.853,66.0000,322.090,239.431,107.732,62.709,470.285,-2.190, 2.185,-0.048, 0.146, 3.180,-0.678,0.00000,0.00000,-2.35619,73.53911,-0.02219,-0.02219,-0.01713,-0.01948,-0.01948,0.01831,0.14593,0.03788,0.41769,-52.00000,-0.37585,52.00000,-0.08792,2.00000,0.00000
1720650535.773481,266.000,298.000,65.000,268.000,292.000,66.000,272.000,288.000,66.000, 0.067, 0.060, 2.000,-6.000, 2.000,-6.000,29.853,-89.558,66.872,-66.872,618.884,379.273,66.0000,321.447,240.146,107.633,62.835,470.152,-2.187, 2.186,-0.050, 0.027, 3.287,-0.680,0.00000,0.00000,-2.35619,67.88225,-0.02013,-0.02013,-0.01112,-0.01709,-0.01709,0.02857,0.02690,0.03906,0.50323,-48.00000,-0.26919,48.00000,-0.08359,1.00000,0.00000
1720650535.8391302,268.000,292.000,66.000,272.000,288.000,66.000,274.000,286.000,66.000, 0.060, 0.066, 4.000,-4.000, 4.000,-4.000,66.872,-66.872,30.440,-30.440,-554.492,554.492,66.0000,320.610,241.873,108.054,62.656,471.680,-2.168, 2.188,-0.037,-0.471, 3.462,-1.495,0.00000,0.00000,-2.35619,65.05382,-0.01852,-0.01852,-0.00067,-0.01714,-0.01714,0.01739,-0.47059,0.04427,0.59507,-46.00000,-0.36103,46.00000,-0.07859,0.00000,-1.00000
1720650535.91291,272.000,288.000,66.000,274.000,286.000,66.000,280.000,284.000,67.000, 0.066, 0.074, 2.000,-2.000, 2.000,-2.000,30.440,-30.440,81.417,-27.139,691.731,44.789,67.0000,320.113,241.698,108.269,62.313,470.241,-2.179, 2.205,-0.019,-0.650, 2.199,-1.162,0.00000,0.00000,-2.30861,59.46427,-0.01741,-0.01741,-0.00006,-0.01345,-0.01345,0.03096,-0.64997,0.04639,0.59072,-44.00000,-0.15151,40.00000,-0.07859,0.00000,-1.00000
1720650535.977826,274.000,286.000,66.000,280.000,284.000,67.000,284.000,284.000,66.000, 0.074, 0.065, 6.000,-2.000, 6.000,-2.000,81.417,-27.139,61.617, 0.000,-304.999,418.055,66.0000,318.813,241.979,107.112,62.989,471.350,-2.181, 2.192, 0.004,-0.248, 1.882,-2.079,0.00000,0.00000,-2.25653,56.85068,-0.01706,-0.01706,0.00800,-0.01256,-0.01256,0.02483,-0.24774,0.04249,0.68886,-44.00000,-0.23648,36.00000,-0.07292,-1.00000,-1.00000
1720650536.0420768,280.000,284.000,67.000,284.000,284.000,66.000,286.000,286.000,68.000, 0.065, 0.064, 4.000, 0.000, 4.000, 0.000,61.617, 0.000,31.142,31.142,-474.527,484.913,68.0000,318.722,242.153,107.009,63.109,471.999,-2.183, 2.191, 0.011,-0.188, 1.703,-2.270,0.00000,0.00000,-2.20730,57.20140,-0.01662,-0.01662,0.01709,-0.01211,-0.01211,0.01497,-0.18827,0.04199,0.79351,-46.00000,-0.32776,34.00000,-0.07226,-1.00000,-2.00000
1720650536.109238,284.000,284.000,66.000,286.000,286.000,68.000,296.000,290.000,67.000, 0.064, 0.067, 2.000, 2.000, 2.000, 2.000,31.142,31.142,148.856,59.542,1752.246,422.757,67.0000,318.999,240.953,107.495,62.280,471.023,-2.181, 2.198, 0.039,-0.410, 0.818,-2.823,0.00000,0.00000,-2.01832,55.46170,-0.01776,-0.01776,0.02636,-0.00583,-0.00583,0.04782,-0.41018,0.04441,0.90473,-50.00000,0.08750,24.00000,-0.07159,-1.00000,0.00000
1720650536.171468,286.000,286.000,68.000,296.000,290.000,67.000,300.000,296.000,65.000, 0.067, 0.062,10.000, 4.000,10.000, 4.000,148.856,59.542,64.284,96.426,-1359.157,592.746,65.0000,318.580,240.491,107.276,62.142,470.966,-2.183, 2.198, 0.054,-0.374, 0.335,-3.151,0.00000,0.00000,-1.91382,59.46427,-0.01982,-0.01982,0.03939,-0.00639,-0.00639,0.02306,-0.37351,0.04423,1.00000,-56.00000,-0.18892,20.00000,-0.07092,-1.00000,0.00000
1720650536.236897,296.000,290.000,67.000,300.000,296.000,65.000,308.000,304.000,65.000, 0.062, 0.065, 4.000, 6.000, 4.000, 6.000,64.284,96.426,122.156,122.156,883.682,392.891,65.0000,319.277,239.942,107.164,62.414,469.018,-2.198, 2.203, 0.037,-0.125, 0.266,-2.171,0.00000,0.00000,-1.75614,65.11528,-0.02237,-0.02237,0.04862,-0.00191,-0.00191,0.03903,-0.12507,0.04181,1.00000,-64.00000,0.02832,12.00000,-0.07592,0.00000,0.00000
1720650536.303651,300.000,296.000,65.000,308.000,304.000,65.000,312.000,306.000,67.000, 0.065, 0.067, 8.000, 8.000, 8.000, 8.000,122.156,122.156,59.878,29.939,-932.271,-1380.450,67.0000,319.201,238.361,106.768,62.192,466.513,-2.214, 2.210, 0.009, 0.096, 0.292,-0.776,0.00000,0.00000,-1.69142,66.48308,-0.02453,-0.02453,0.02057,-0.00171,-0.00171,0.01894,0.09596,0.03955,0.86851,-66.00000,-0.15145,8.00000,-0.07592,0.00000,1.00000
1720650536.3829288,308.000,304.000,65.000,312.000,306.000,67.000,320.000,308.000,66.000, 0.067, 0.079, 4.000, 2.000, 4.000, 2.000,59.878,29.939,101.029,25.257,519.679,-59.126,66.0000,319.067,237.894,106.803,61.902,466.816,-2.209, 2.208,-0.006, 0.025, 0.907,-0.594,0.00000,0.00000,-1.57080,68.00000,-0.02579,-0.02579,0.01985,0.00230,0.00230,0.02998,0.02459,0.04025,0.87808,-68.00000,0.06634,-0.00000,-0.07592,0.00000,2.00000
1720650536.473541,312.000,306.000,67.000,320.000,308.000,66.000,332.000,308.000,65.000, 0.079, 0.091, 8.000, 2.000, 8.000, 2.000,101.029,25.257,132.468, 0.000,347.054,-278.816,65.0000,318.153,237.199,106.519,61.544,464.964, 2.224,-2.225, 0.012,-0.030, 0.462, 0.133,0.00000,0.00000,-1.39612,69.05071,-0.02677,-0.02677,0.01255,0.00778,0.00778,0.03770,-0.03029,0.04082,0.78515,-68.00000,0.29749,-12.00000,-0.07026,-1.00000,2.00000
1720650536.5381398,320.000,308.000,66.000,332.000,308.000,65.000,340.000,304.000,65.000, 0.091, 0.065,12.000, 0.000,12.000, 0.000,132.468, 0.000,123.628,-61.814,-136.607,-955.246,65.0000,318.033,237.624,106.659,61.548,464.265, 2.220,-2.226, 0.021,-0.162, 0.642, 0.436,0.00000,0.00000,-1.26791,67.05222,-0.02662,-0.02662,-0.00682,0.01072,0.01072,0.03356,-0.16153,0.04221,0.58314,-64.00000,0.13183,-20.00000,-0.06959,-1.00000,2.00000
1720650536.607407,332.000,308.000,65.000,340.000,304.000,65.000,344.000,302.000,65.000, 0.065, 0.069, 8.000,-4.000, 8.000,-4.000,123.628,-61.814,57.756,-28.878,-951.129,475.564,65.0000,316.618,238.900,106.001,62.149,463.101, 2.215,-2.219, 0.011,-0.117, 0.047, 0.535,0.00000,0.00000,-1.20146,66.48308,-0.02507,-0.02507,0.00274,0.01078,0.01078,0.01298,-0.11667,0.04182,0.67573,-62.00000,-0.04644,-24.00000,-0.05759,-3.00000,1.00000
1720650536.664036,340.000,304.000,65.000,344.000,302.000,65.000,348.000,298.000,66.000, 0.069, 0.057, 4.000,-2.000, 4.000,-2.000,57.756,-28.878,70.627,-70.627,227.255,-737.142,66.0000,315.911,239.387,105.793,62.240,464.693, 2.218,-2.224,-0.015,-0.156,-0.402,-0.366,0.00000,0.00000,-1.12104,64.40497,-0.02409,-0.02409,-0.01042,0.01246,0.01246,0.01587,-0.15606,0.04229,0.56954,-58.00000,-0.03233,-28.00000,-0.04993,-4.00000,0.00000
1720650536.7422981,344.000,302.000,65.000,348.000,298.000,66.000,352.000,296.000,66.000, 0.057, 0.078, 4.000,-4.000, 4.000,-4.000,70.627,-70.627,51.152,-25.576,-249.041,576.108,66.0000,315.670,240.717,105.768,62.718,465.592, 2.222,-2.230,-0.076,-0.229,-1.651,-2.248,0.00000,0.00000,-1.05165,64.49806,-0.02229,-0.02229,0.00259,0.01357,0.01357,0.00937,-0.22861,0.04313,0.66184,-56.00000,-0.01804,-32.00000,-0.04727,-4.00000,0.00000
