time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,br,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitch_setpoint,pitcherr,roll_pid_out,roll_setpoint,rollerr,x_pid_out,xerr,yerr
1722031877.203737,194.000,226.000,64.000,190.000,226.000,67.000,190.000,224.000,66.000, 0.096, 0.099,-4.000, 0.000,-4.000, 0.000,-41.556, 0.000, 0.000,-20.168,419.046,-203.371,66.0000,319.564,239.626,106.542,63.091,463.838, 2.216,-2.205,-0.174, 0.129,-4.938,-0.055,0.00000,0.00000,0.12931,0.04069,0.03797,0.00000,-0.05509,-0.08658,5.00000,9.93827,-0.05994,0.00000,0.00000
1722031877.296065,190.000,226.000,67.000,190.000,224.000,66.000,194.000,224.000,65.000, 0.099, 0.092, 0.000,-2.000, 0.000,-2.000, 0.000,-20.168,43.275, 0.000,468.182,218.191,65.0000,319.532,239.655,106.554,63.083,464.001, 2.217,-2.206,-0.175, 0.115,-4.903,-0.168,0.00000,0.00000,0.11466,0.04077,0.03939,0.00000,-0.16839,-0.09099,5.00000,9.90258,-0.05994,0.00000,0.00000
1722031877.391876,190.000,224.000,66.000,194.000,224.000,65.000,196.000,226.000,66.000, 0.092, 0.096, 4.000, 0.000, 4.000, 0.000,43.275, 0.000,20.873,20.873,-233.799,217.848,66.0000,321.989,239.996,108.192,62.574,468.140, 2.236,-2.236,-0.144,-0.125,-2.725,-0.658,0.00000,0.00000,-0.12450,0.04389,0.04616,0.00000,-0.65768,-0.08143,5.00000,7.72511,-0.06861,1.00000,0.00000
1722031877.469913,194.000,224.000,65.000,196.000,226.000,66.000,206.000,226.000,66.000, 0.096, 0.078, 2.000, 2.000, 2.000, 2.000,20.873,20.873,128.169, 0.000,1375.207,-267.532,66.0000,326.498,239.684,109.760,62.720,469.383,-2.203, 2.197, 0.061, 0.150,-0.401, 1.210,0.00000,0.00000,0.15019,0.03953,0.02153,0.00000,1.20974,-0.06877,5.00000,5.40127,-0.10962,6.00000,0.00000
1722031877.564815,196.000,226.000,66.000,206.000,226.000,66.000,212.000,222.000,67.000, 0.078, 0.095,10.000, 0.000,10.000, 0.000,128.169, 0.000,63.220,-42.147,-684.350,-444.082,67.0000,327.874,239.288,110.065,62.699,470.991,-2.190, 2.182,-0.011, 0.249, 2.314, 2.269,0.00000,0.00000,0.24882,0.03895,0.00762,0.00000,2.26930,-0.04639,5.00000,2.68578,-0.10727,7.00000,0.00000
1722031877.6598022,206.000,226.000,66.000,212.000,222.000,67.000,220.000,220.000,66.000, 0.095, 0.095, 6.000,-4.000, 6.000,-4.000,63.220,-42.147,84.282,-21.071,221.899,222.041,66.0000,327.552,239.229,109.943,62.690,470.746,-2.193, 2.185,-0.026, 0.238, 2.537, 2.815,0.00000,0.00000,0.23816,0.03926,-0.00270,0.00000,2.81543,-0.05282,5.00000,2.46283,-0.10893,7.00000,0.00000
1722031877.759974,212.000,222.000,67.000,220.000,220.000,66.000,226.000,212.000,66.000, 0.095, 0.100, 8.000,-2.000, 8.000,-2.000,84.282,-21.071,59.876,-79.834,-243.560,-586.417,66.0000,323.946,239.500,108.686,62.232,474.559,-2.168, 2.169,-0.001, 0.057, 3.063, 0.974,0.00000,0.00000,0.05682,0.04156,0.01735,0.00000,0.97428,-0.05097,5.00000,1.93653,-0.07891,3.00000,0.00000
1722031877.8673909,220.000,220.000,66.000,226.000,212.000,66.000,232.000,206.000,67.000, 0.100, 0.107, 6.000,-8.000, 6.000,-8.000,59.876,-79.834,55.842,-55.842,-37.545,223.297,67.0000,322.238,240.271,108.453,62.070,474.858,-2.163, 2.174, 0.027,-0.201, 2.303, 0.262,0.00000,0.00000,-0.20098,0.04447,0.02226,0.00000,0.26170,-0.06589,5.00000,2.69661,-0.08425,2.00000,0.00000
1722031877.963881,226.000,212.000,66.000,232.000,206.000,67.000,242.000,200.000,65.000, 0.107, 0.096, 6.000,-6.000, 6.000,-6.000,55.842,-55.842,103.722,-62.233,496.620,-66.293,65.0000,322.247,240.658,108.104,62.741,473.477,-2.178, 2.178, 0.018, 0.038, 2.017, 1.028,0.00000,0.00000,0.03763,0.04057,0.01032,0.00000,1.02789,-0.07401,5.00000,2.98311,-0.08859,2.00000,0.00000
1722031878.053452,232.000,206.000,67.000,242.000,200.000,65.000,250.000,192.000,66.000, 0.096, 0.090,10.000,-6.000,10.000,-6.000,103.722,-62.233,89.288,-89.288,-161.089,-301.968,66.0000,323.812,240.805,108.860,62.728,472.614,-2.177, 2.180, 0.022,-0.039, 1.879, 0.954,0.00000,0.00000,-0.03866,0.04230,0.01042,0.00000,0.95409,-0.08140,5.00000,3.12096,-0.09859,3.00000,0.00000
